Year,Afghanistan,Africa,Africa (GCP),Albania,Algeria,Andorra,Angola,Anguilla,Antarctica,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Asia (GCP),Asia (excl. China and India),Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Republic,Central America (GCP),Chad,Chile,China,Christmas Island,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,Europe (GCP),Europe (excl. EU-27),Europe (excl. EU-28),European Union (27),European Union (28),Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,High-income countries,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International aviation,International shipping,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kuwaiti Oil Fires (GCP),Kyrgyzstan,Laos,Latvia,Lebanon,Leeward Islands (GCP),Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low-income countries,Lower-middle-income countries,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (country),Middle East (GCP),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Non-OECD (GCP),North America,North America (GCP),North America (excl. USA),North Korea,North Macedonia,Norway,OECD (GCP),Oceania,Oceania (GCP),Oman,Pakistan,Palau,Palestine,Panama,Panama Canal Zone (GCP),Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Ryukyu Islands (GCP),Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South America (GCP),South Korea,South Sudan,Spain,Sri Lanka,St. Kitts-Nevis-Anguilla (GCP),Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper-middle-income countries,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,World,Yemen,Zambia,Zimbabwe
1800,,0.0,,,,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,32541872.0,,31340080.0,0.0,1201792.0,32541872.0,,,,,,,,,795088.0,,,0.0,,,0.0,,,,32798352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,256479.98,,3664.0,,,,,0.0,,,,,,,,0.0,,,,406704.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,31340080.0,252815.98,0.0,,,,,,,32798352.0,,,
1801,,0.0,,,,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,31714914.0,,30736626.0,0.0,978288.0,31714914.0,,,,,,,,,534944.0,,,0.0,,,0.0,,,,31986050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,271136.0,,3664.0,,,,,0.0,,,,,,,,0.0,,,,443344.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,30736626.0,267472.0,0.0,,,,,,,31986050.0,,,
1802,,0.0,,,,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,6397344.0,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,40017350.0,,30377368.0,0.0,9639984.0,40017350.0,,,,2238704.0,,,,,553264.0,,,0.0,,,0.0,,,,40310470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,293120.0,,3664.0,,,,,0.0,,,,,,,,0.0,,,,450672.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,30377368.0,289456.0,0.0,,,,,,,40310476.0,,,
1803,,0.0,,,,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,29238058.0,,28241450.0,0.0,996608.0,29238058.0,,,,,,,,,534944.0,,,0.0,,,0.0,,,,29538506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,300448.0,,3664.0,,,,,0.0,,,,,,,,0.0,,,,461664.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,28241450.0,296784.0,0.0,,,,,,,29538506.0,,,
1804,,0.0,,,,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,31432090.0,,27790074.0,0.0,3642016.0,31432090.0,,,,2176416.0,,,,,1007599.94,,,0.0,,,0.0,,,,31769178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,337088.0,,3664.0,,,,,0.0,,,,,,,,0.0,,,,458000.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,27790074.0,333424.0,0.0,,,,,,,31769176.0,,,
1805,,0.0,,,,0.0,,,,,,,,0.0,,0.0,236.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,30907166.0,,29295006.0,0.0,1612160.0,30907166.0,,,,,,,,,1040576.0,,,0.0,,,0.0,,,,31251818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,344416.0,,3664.0,,,,,236.0,,,,,,,,0.0,,,,571584.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,29295006.0,340752.0,0.0,,,,,,,31251818.0,,,
1806,,0.0,,,,0.0,,,,,,,,0.0,,0.0,661.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,32366874.0,,30908602.0,0.0,1458272.0,32366874.0,,,,,,,,,937984.0,,,0.0,,,0.0,,,,32704622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,337088.0,,3664.0,,,,,661.0,,,,,,,,0.0,,,,520288.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,30908602.0,333424.0,0.0,,,,,,,32704620.0,,,
1807,,0.0,,,,0.0,,,,,,,,0.0,,0.0,629.0,168544.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,35818970.0,,32583656.0,0.0,3235312.0,35818970.0,,,,,,,,,2689376.0,,,0.0,,,0.0,,,,36200652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,381056.0,,3664.0,,,,,629.0,,,,,,,,0.0,,,,377392.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,32583656.0,377392.0,0.0,,,,,,,36200652.0,,,
1808,,0.0,,,,0.0,,,,,,,,0.0,,0.0,787.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,35101290.0,,33701640.0,0.0,1399648.0,35101290.0,,,,,,,,,897680.0,,,0.0,,,0.0,,,,35497788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,395712.0,,3664.0,,,,,787.0,,,,,,,,0.0,,,,501968.03,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,33701640.0,392048.0,0.0,,,,,,,35497788.0,,,
1809,,0.0,,,,0.0,,,,,,,,0.0,,0.0,1259.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,35925850.0,,34522536.0,0.0,1403312.0,35925850.0,,,,,,,,,930656.0,,,0.0,,,0.0,,,,36333812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,406704.0,,3664.0,,,,,1259.0,,,,,,,,0.0,,,,472656.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,34522536.0,403040.0,0.0,,,,,,,36333812.0,,,
1810,,0.0,,,,0.0,,,,,,,,0.0,,0.0,1259.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,39069692.0,,35402028.0,0.0,3667664.0,39069692.0,,,,2121456.0,,,,,978288.0,,,0.0,,,0.0,,,,39492310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,421360.0,,3664.0,,,,,1259.0,,,,,,,,0.0,,,,567920.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,35402028.0,417696.0,0.0,,,,,,,39492310.0,,,
1811,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2203.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,39723810.0,,36155070.0,0.0,3568736.0,39723810.0,,,,2051840.1,,,,,926992.0,,,0.0,,,0.0,,,,40176684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,450672.0,,3664.0,,,,,2203.0,,,,,,,,0.0,,,,589904.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,36155070.0,447008.0,0.0,,,,,,,40176680.0,,,
1812,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2203.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,40325010.0,,36741616.0,0.0,3583392.0,40325010.0,,,,2216720.0,,,,,912336.0,,,0.0,,,0.0,,,,40814524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,487312.0,,3664.0,,,,,2203.0,,,,,,,,0.0,,,,454336.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,36741616.0,483648.0,0.0,,,,,,,40814520.0,,,
1813,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2832.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,40679356.0,,37359772.0,0.0,3319584.0,40679356.0,,,,2048176.0,,,,,890352.0,,,0.0,,,0.0,,,,41206140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,523952.0,,3664.0,,,,,2832.0,,,,,,,,0.0,,,,381056.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,37359772.0,520288.0,0.0,,,,,,,41206140.0,,,
1814,,0.0,,,,0.0,,,,,,,,0.0,,0.0,3451.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,41658940.0,,38181804.0,0.0,3477136.0,41658940.0,,,,2092144.0,,,,,883024.0,,,0.0,,,0.0,,,,42226650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,564256.0,,3664.0,,,,,3451.0,,,,,,,,0.0,,,,501968.03,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,38181804.0,560592.0,0.0,,,,,,,42226650.0,,,
1815,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2753.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,42979950.0,,39019170.0,0.0,3960784.0,42979950.0,,,,2341296.0,,,,,1029584.06,,,0.0,,,0.0,,,,43587264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,604560.0,,3664.0,,,,,2753.0,,,,,,,,0.0,,,,589904.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,39019170.0,600896.0,0.0,,,,,,,43587264.0,,,
1816,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2281.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,44827450.0,,39265496.0,0.0,5561952.0,44827450.0,,,,2498848.0,,,,,2385264.0,,,0.0,,,0.0,,,,45496576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,666848.0,,3664.0,,,,,2281.0,,,,,,,,0.0,,,,677840.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,39265496.0,663184.0,0.0,,,,,,,45496580.0,,,
1817,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2045.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,48552070.0,,41766344.0,0.0,6785728.0,48552070.0,,,,2660064.0,,,,,3381872.0,,,0.0,,,0.0,,,,49275924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,721808.0,,3664.0,,,,,2045.0,,,,,,,,0.0,,,,743792.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,41766344.0,718144.0,0.0,,,,,,,49275920.0,,,
1818,,0.0,,,,0.0,,,,,,,,0.0,,0.0,1888.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,3664.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,50606024.0,,43769000.0,0.0,6837024.0,50606024.0,,,,2381600.0,,,,,3532096.0,,,0.0,,,0.0,,,,51392010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,784096.0,,3664.0,,,,,1888.0,,,,,,,,0.0,,,,923328.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,43769000.0,780432.0,0.0,,,,,,,51392010.0,,,
