,Country
0,Afghanistan
1,Africa
2,Africa (GCP)
3,Albania
4,Algeria
5,Andorra
6,Angola
7,Anguilla
8,Antarctica
9,Antigua and Barbuda
10,Argentina
11,Armenia
12,Aruba
13,Asia
14,Asia (GCP)
15,Asia (excl. China and India)
16,Australia
17,Austria
18,Azerbaijan
19,Bahamas
20,Bahrain
21,Bangladesh
22,Barbados
23,Belarus
24,Belgium
25,Belize
26,Benin
27,Bermuda
28,Bhutan
29,Bolivia
30,Bonaire Sint Eustatius and Saba
31,Bosnia and Herzegovina
32,Botswana
33,Brazil
34,British Virgin Islands
35,Brunei
36,Bulgaria
37,Burkina Faso
38,Burundi
39,Cambodia
40,Cameroon
41,Canada
42,Cape Verde
43,Central African Republic
44,Central America (GCP)
45,Chad
46,Chile
47,China
48,Christmas Island
49,Colombia
50,Comoros
51,Congo
52,Cook Islands
53,Costa Rica
54,Cote d'Ivoire
55,Croatia
56,Cuba
57,Curacao
58,Cyprus
59,Czechia
60,Democratic Republic of Congo
61,Denmark
62,Djibouti
63,Dominica
64,Dominican Republic
65,East Timor
66,Ecuador
67,Egypt
68,El Salvador
69,Equatorial Guinea
70,Eritrea
71,Estonia
72,Eswatini
73,Ethiopia
74,Europe
75,Europe (GCP)
76,Europe (excl. EU-27)
77,Europe (excl. EU-28)
78,European Union (27)
79,European Union (28)
80,Faroe Islands
81,Fiji
82,Finland
83,France
84,French Polynesia
85,Gabon
86,Gambia
87,Georgia
88,Germany
89,Ghana
90,Greece
91,Greenland
92,Grenada
93,Guatemala
94,Guinea
95,Guinea-Bissau
96,Guyana
97,Haiti
98,High-income countries
99,Honduras
100,Hong Kong
101,Hungary
102,Iceland
103,India
104,Indonesia
105,International aviation
106,International shipping
107,Iran
108,Iraq
109,Ireland
110,Israel
111,Italy
112,Jamaica
113,Japan
114,Jordan
115,Kazakhstan
116,Kenya
117,Kiribati
118,Kosovo
119,Kuwait
120,Kuwaiti Oil Fires (GCP)
121,Kyrgyzstan
122,Laos
123,Latvia
124,Lebanon
125,Leeward Islands (GCP)
126,Lesotho
127,Liberia
128,Libya
129,Liechtenstein
130,Lithuania
131,Low-income countries
132,Lower-middle-income countries
133,Luxembourg
134,Macao
135,Madagascar
136,Malawi
137,Malaysia
138,Maldives
139,Mali
140,Malta
141,Marshall Islands
142,Mauritania
143,Mauritius
144,Mexico
145,Micronesia (country)
146,Middle East (GCP)
147,Moldova
148,Mongolia
149,Montenegro
150,Montserrat
151,Morocco
152,Mozambique
153,Myanmar
154,Namibia
155,Nauru
156,Nepal
157,Netherlands
158,New Caledonia
159,New Zealand
160,Nicaragua
161,Niger
162,Nigeria
163,Niue
164,Non-OECD (GCP)
165,North America
166,North America (GCP)
167,North America (excl. USA)
168,North Korea
169,North Macedonia
170,Norway
171,OECD (GCP)
172,Oceania
173,Oceania (GCP)
174,Oman
175,Pakistan
176,Palau
177,Palestine
178,Panama
179,Panama Canal Zone (GCP)
180,Papua New Guinea
181,Paraguay
182,Peru
183,Philippines
184,Poland
185,Portugal
186,Qatar
187,Romania
188,Russia
189,Rwanda
190,Ryukyu Islands (GCP)
191,Saint Helena
192,Saint Kitts and Nevis
193,Saint Lucia
194,Saint Pierre and Miquelon
195,Saint Vincent and the Grenadines
196,Samoa
197,Sao Tome and Principe
198,Saudi Arabia
199,Senegal
200,Serbia
201,Seychelles
202,Sierra Leone
203,Singapore
204,Sint Maarten (Dutch part)
205,Slovakia
206,Slovenia
207,Solomon Islands
208,Somalia
209,South Africa
210,South America
211,South America (GCP)
212,South Korea
213,South Sudan
214,Spain
215,Sri Lanka
216,St. Kitts-Nevis-Anguilla (GCP)
217,Sudan
218,Suriname
219,Sweden
220,Switzerland
221,Syria
222,Taiwan
223,Tajikistan
224,Tanzania
225,Thailand
226,Togo
227,Tonga
228,Trinidad and Tobago
229,Tunisia
230,Turkey
231,Turkmenistan
232,Turks and Caicos Islands
233,Tuvalu
234,Uganda
235,Ukraine
236,United Arab Emirates
237,United Kingdom
238,United States
239,Upper-middle-income countries
240,Uruguay
241,Uzbekistan
242,Vanuatu
243,Venezuela
244,Vietnam
245,Wallis and Futuna
246,World
247,Yemen
248,Zambia
249,Zimbabwe
